fromNode,toNode,originalId,linkTypeId,nbOperations,inFflow,outFlow,name
2001,2003,1,1,0,23.62,23.62,Canal 1
2003,5002,2,1,0,15.48,15.48,Canal 2
2002,5003,3,1,0,16.44,14.39,Canal 3
2004,2005,4,1,1,4.800,4.792,Canal 4
2006,4003,5,1,0,4.584,4.584,Canal 5
4003,5004,6,1,0,2.400,2.481,Canal 6
2009,2007,7,1,0,4.584,4.584,Canal 7
2007,2008,8,1,0,51.18,49.46,Canal 8
2007,4004,9,1,1,8.823,8.666,Canal 9
2008,4005,10,1,1,6.602,5.708,Canal 10
2006,2002,11,1,1,67.42,65.10,Canal 11
2009,2003,12,1,0,144,138.9,Canal 12
2001,5001,1,2,24,7.956,7.956,Pipe 1
5001,8001,2,2,0,7.956,7.956,Pipe 2
5002,4002,3,2,8,15.48,15.48,Pipe 3
5003,4001,4,2,4,14.39,14.39,Pipe 4
4002,4001,5,2,0,0,0,Pipe 5
4001,8002,6,2,0,8.316,8.316,Pipe 6
3001,5003,7,2,1,0,0,Pipe 7
2005,2003,8,2,0,60,60,Pipe 8
3003,5004,9,2,0,14.45,14.45,Pipe 9
5004,8004,10,2,24,6.269,6.269,Pipe 10
5004,8003,11,2,24,5.550,5.550,Pipe 11
4004,5006,12,2,0,9.333,9.333,Pipe 12
3002,8006,13,2,0,4.524,4.524,Pipe 13
5006,8007,14,2,0,6.933,6.933,Pipe 14
5006,8006,15,2,0,2.400,2.400,Pipe 15
4005,5005,16,2,0,1.163,1.163,Pipe 16
5005,8005,17,2,0,6.273,6.273,Pipe 17
4002,8008,18,2,0,13.85,13.85,Pipe 18
4003,5003,19,2,1,0,0,Pipe 19
5006,8004,20,2,1,0,0,Pipe 20
5004,5005,21,2,0,5.110,5.110,Pipe 21
